IP,APA,AFE,Config_CH,DAQ_CH,SIPM_type,Run,Bias_conversion_slope,Bias_conversion_intercept,New Vbd(V),New Vbd_error(V),RunFolder,Stringa_DAQch,End,Old Vbd(V),Old Vbd_error(V),Diff Old_New,Coldbox_LN2T Vbd(V),Coldbox_LN2T Vbd_error(V),Diff New_LN2T,Diff Old_LN2T,EndCh,End_AFE
10.73.137.109,2,4,33,41,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03934,0.98382,41.5687,0.0543,Vbd_best_20241007,IP109_CH41,109,41.567,0.0604,-0.0016999999999995907,41.06,,0.5086999999999975,0.5069999999999979,109_41,109_4
10.73.137.109,2,4,34,42,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03937,0.96418,42.2411,0.0477,Vbd_best_20241007,IP109_CH42,109,42.2329,0.0492,-0.008200000000002206,41.83,,0.4111000000000047,0.4029000000000025,109_42,109_4
10.73.137.109,2,4,35,43,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03939,0.94155,41.9939,0.0516,Vbd_best_20241007,IP109_CH43,109,41.9902,0.0558,-0.0036999999999949296,41.5,,0.49389999999999645,0.4902000000000015,109_43,109_4
10.73.137.109,2,4,36,44,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03936,0.9747,42.1072,0.0675,Vbd_best_20241007,IP109_CH44,109,42.1109,0.0705,0.003700000000002035,41.67,,0.43719999999999715,0.4408999999999992,109_44,109_4
10.73.137.109,2,4,37,45,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03934,0.98727,41.6081,0.0256,Vbd_best_20241007,IP109_CH45,109,41.6078,0.0281,-0.00030000000000285354,41.18,,0.4281000000000006,0.42779999999999774,109_45,109_4
10.73.137.109,2,4,38,46,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03936,0.97009,42.0018,0.0288,Vbd_best_20241007,IP109_CH46,109,41.9996,0.0312,-0.002200000000001978,41.58,,0.4218000000000046,0.41960000000000264,109_46,109_4
10.73.137.109,2,4,39,47,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03935,0.98427,41.6419,0.0578,Vbd_best_20241007,IP109_CH47,109,41.6394,0.0634,-0.0024999999999977263,41.26,,0.3819000000000017,0.37940000000000396,109_47,109_4
10.73.137.111,3,0,0,0,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03929,0.33345,27.3676,0.0582,Vbd_best_20241007,IP111_CH00,111,27.3751,0.0596,0.007500000000000284,,,,,111_00,111_0
10.73.137.111,3,0,1,1,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03922,0.374,27.4986,0.1161,Vbd_best_20241007,IP111_CH01,111,27.5223,0.1144,0.02370000000000161,,,,,111_01,111_0
10.73.137.111,3,0,2,2,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03931,0.32009,27.4494,0.0667,Vbd_best_20241007,IP111_CH02,111,27.4559,0.0695,0.006499999999999062,,,,,111_02,111_0
